Registration date and plan ref.,Property description,Date of lease and term.,Lessee's title.,Notes.
28.01.2009tinted blue(part of),Transformer Chamber (GroundFloor),23.01.200999 years from23.1.2009,EGL551039,
09.07.2009Edged andnumbered 2 inblue (part of),"Endeavour House, 47 CubaStreet, London",06.07.2009125 years from1.1.2009,EGL557357,
25.09.2009Edged andnumbered 3 inblue (part of),"Mayflower House, WestferryRoad, London",10.09.2009125 years from1.1.2009,EGL560877,
16.12.2009Edged andnumbered 4 inblue (part of),"Flat 1602, Landmark WestTower(sixteenth floor)",12.11.2009999 years from1.1.2009,EGL565026,
17.12.2009Edged andnumbered 4 inblue (part of),"Flat  207, Landmark WestTower (second floor flat)",01.12.2009999 years from1.1.2009,EGL565086,
17.12.2009Edged andnumbered 4 inblue (part of),"Flat 704, Landmark WestTower (seventh floor flat)",04.12.2009999 years from1.1.2009,EGL565089,
18.12.2009Edged andnumbered 4 inblue (part of),Flat 2207 Landmark WestTower (twenty second floorflat),01.12.2009999 years from1.1.2009,EGL565182,
23.12.2009Edged andnumbered 4 inblue (part of),Flat 1201 Landmark WestTower (twelfth floor flat),01.12.2009999 years from1.1.2009,EGL565292,
23.12.2009Edged andnumbered 4 inblue (part of),Flat 403 Landmark WestTower (fourth floor flat),27.11.2009999 years from1.1.2009,EGL565293,
05.01.2010Edged andnumbered 4 inblue (part of),Flat 1105 Landmark WestTower (eleventh floor flat),01.12.2009999 years from1.1.2009,EGL565470,
06.01.2010Edged andnumbered 4 inblue (part of),Flat 1019 Landmark WestTower (tenth floor flat),02.12.2009999 years from1.1.2009,EGL565616,
08.01.2010Edged andnumbered 4 inblue (part of),Flat 203 Landmark WestTower (second floor flat),09.12.2009999 years from1.1.2009,EGL565645,
08.01.2010Edged andnumbered 6 inblue onsupplementaryplan 1,Parking Space 80 LandmarkWest Tower (basement level),12.11.2009999 years from1.1.2009,EGL565724,
08.01.2010Edged andnumbered 7 inblue onsupplementaryplan 1,Parking Space 81 LandmarkWest Tower (basement level),12.11.2009999 years from1.1.2009,EGL565725,
11.01.2010Edged andnumbered 4 inblue (part of),Flat 808 Landmark WestTower (eighth floor flat),27.11.2009999 years from1.1.2009,EGL565765,
12.01.2010Edged andnumbered 4 inblue (part of),Flat 604 Landmark WestTower (sixth floor flat),30.10.2009999 years from1.1.2009,EGL565856,
12.01.2010Edged andnumbered 4 inblue (part of),Flat 603 Landmark WestTower (sixth floor flat),30.10.2009999 years from1.1.2009,EGL565866,
13.01.2010Edged andnumbered 4 inblue (part of),Flat 1801 Landmark WestTower (eighteenth floorflat),22.12.2009999 years from1.1.2009,EGL565967,
15.01.2010Edged andnumbered 4 inblue (part of),Flat 1403 Landmark WestTower (fourteenth floorflat),04.12.2009999 years from1.1.2009,EGL566147,
15.01.2010Edged andnumbered 8 inblue onsupplementaryplan 1,Parking Space 24 LandmarkWest Tower (basement level),04.12.2009999 years from1.1.2009,EGL566155,
18.01.2010Edged andnumbered 4 inblue (part of),Flat 1301 Landmark WestTower (thirteenth floorflat),07.12.2009999 years from1.1.2009,EGL566221,
18.01.2010Edged andnumbered 4 inblue (part of),Flat 1205 Landmark WestTower (twelfth floor flat),01.12.2009999 years from1.1.2009,EGL566227,
18.01.2010Edged andnumbered 9 inblue onsupplementaryplan 1,Parking Space 27 LandmarkWest Tower (basement level),07.12.2009999 years from1.1.2009,EGL566222,
18.01.2010Edged andnumbered 10 inblue onsupplementaryplan 1,Parking Space 89 LandmarkWest Tower (basement level),01.12.2009999 years from1.1.2009,EGL566228,
18.01.2010Edged andnumbered 4 inblue (part of),Flat 2208 Landmark WestTower (twenty-second floorflat),23.12.2009999 years from1.1.2009,EGL566229,
18.01.2010Edged andnumbered 4 inblue (part of),Flat 1805 Landmark WestTower (eighteenth floorflat),07.12.2009999 years from1.1.2009,EGL566231,
18.01.2010Edged andnumbered 4 inblue (part of),Flat 506 Landmark WestTower (fifth floor flat),22.12.2009999 years from1.1.2009,EGL566234,
18.01.2010Edged andnumbered 4 inblue (part of),Flat 2807 Landmark WestTower (twenty-eighth floorflat),21.12.2009999 years from1.1.2009,EGL566236,
21.01.2010Edged andnumbered 4 inblue (part of),Flat 910 Landmark WestTower (ninth floor flat),11.12.2009999 years from1.1.2009,EGL566485,
21.01.2010Edged andnumbered 4 inblue (part of),Flat 210 Landmark WestTower (second floor flat),18.12.2009999 years from1.1.2009,EGL566491,
21.01.2010Edged andnumbered 4 inblue (part of),Flat 1202 Landmark WestTower (twelfth floor flat),07.12.2009999 years from1.1.2009,EGL566497,
