Unnamed: 0,Registration date and plan ref.,Property description,Date of lease and term,Lessee's title,"('Schedule', 'Unnamed: 0_level_1')","('of notices', 'Registration date and plan ref. blue (part of)')","('of leases continued', 'Property description')","('Unnamed: 3_level_0', 'Date of and term')","('Unnamed: 4_level_0', 'lease')","('Unnamed: 5_level_0', ""Lessee's title"")",Date of and,lease term,Registration date and plan,ref.,"('Unnamed: 0_level_0', 'Unnamed: 0_level_1')","('Registration date and plan ref. Edged and numbered 4 in blue (part of)', 'Registration date and plan ref. Edged and numbered 4 in blue (part of)')","('Property description', 'Tower (seventeenth floor flat)')","('Date of and term', '999 years .1.2009')","('lease', 'from')","(""Lessee's title"", ""Lessee's title"")","('Schedule of Registration date and plan', 'numbered 4 blue (part )')","('notices ref.', 'in of')","('of leases continued Property description', 'of leases continued Property description')","('Date of and term', '1.1.2009')","('lease', 'Unnamed: 5_level_1')","(""Lessee's title"", 'Unnamed: 6_level_1')","('Registration date and plan ref.', 'numbered 15 blue on supplementary plan 1')","('Property description', 'in')","('lease', 'Unnamed: 4_level_1')","(""Lessee's title"", 'Unnamed: 5_level_1')",Date of and term,lease,"('Schedule', 'Schedule')","('of notices Registration date and plan ref. Edged and numbered 28 blue on supplementary plan 1', 'of notices Registration date and plan ref. Edged and numbered 28 blue on supplementary plan 1')","('of leases continued Property description', 'West Tower (basement level parking space)')","('Date of and term', '999 years 1.1.2009')",Schedule,of notices Registration date and plan ref.,of leases continued Property description,Unnamed: 2,"('of notices', 'Registration date and plan ref.')","('Unnamed: 3_level_0', 'Unnamed: 3_level_1')","('Unnamed: 4_level_0', 'Date of and term')","('Unnamed: 5_level_0', 'lease')","('Unnamed: 6_level_0', ""Lessee's title"")","('Registration date and plan ref.', 'numbered 4 in blue (part of)')","('Property description', 'Property description')","('Date of and term', '.1.2009')","('of notices', 'Registration date and plan ref. numbered 4 in blue (part of)')","('Unnamed: 3_level_0', 'Date of lease and term .1.2009')","('Unnamed: 4_level_0', ""Lessee's title"")","('Property description', 'Tower (twenty third floor flat)')","('Date of lease and term 999 years from 1.1.2009', 'Date of lease and term 999 years from 1.1.2009')","('Unnamed: 3_level_0', 'Date of and term .1.2009')",0,1,2,3,4,5,of Registration date and plan,notices ref.,Unnamed: 4,"('Registration date and plan ref.', 'blue (part of)')","('Property description', 'Unnamed: 2_level_1')","('Date of lease and term', 'Unnamed: 3_level_1')","('Unnamed: 0_level_0', 'Date of lease and term 999 years from .1.2009')","('Registration date and plan ref.', 'Unnamed: 1_level_1')","('Date of lease and term 999 years from .1.2009', 'Unnamed: 3_level_1')","(""Lessee's title"", 'Unnamed: 4_level_1')","('Unnamed: 0_level_0', ""Lessee's title"")","('Registration date and plan ref.', 'numbered 5 in blue (part of)')","('Date of lease and term', '.1.2009')","('Registration date and plan ref. supplementary plan 1', 'Registration date and plan ref. supplementary plan 1')",Registration date and plan ref. blue (part of),Unnamed: 3,"('Registration date and plan ref. numbered 5 in blue (part of)', 'Registration date and plan ref. numbered 5 in blue (part of)')","('Property description', 'flat)')","('Date of lease and term 2009', 'Date of lease and term 2009')","('Registration date and plan ref. Edged and numbered 5 in blue (part of)', 'Registration date and plan ref. Edged and numbered 5 in blue (part of)')","('Property description', 'Tower (thirteenth floor flat)')","('Date of lease and term 999 years from 1 2009', 'Date of lease and term 999 years from 1 2009')","('Schedule', 'Schedule', 'Schedule')","('of notices', 'Registration date and plan ref. Edged and numbered 5 in blue (part of)', 'Registration date and plan ref. Edged and numbered 5 in blue (part of)')","('of leases continued', 'Property description', 'Tower (thirty fourth floor flat)')","('Date of lease and term 999 years from and including 0 .01.2009 until and including 3 .12.3007', 'Date of lease and term 999 years from and including 0 .01.2009 until and including 3 .12.3007', 'Date of lease and term 999 years from and including 0 .01.2009 until and including 3 .12.3007')","(""Lessee's title"", ""Lessee's title"", ""Lessee's title"")",Date of lease and term including,"('of notices Registration date and plan ref.', 'Edged and numbered 5 in blue (part of)')","('of leases continued Property description', 'Tower (eleventh floor')","('of leases continued Property description', 'flat)')","('Date of lease and term 999 years from and including 0 .0 .2009 until and including 3 .12.3007', 'Date of lease and term 999 years from and including 0 .0 .2009 until and including 3 .12.3007')",Date of lease and term 3 .12.3007,"('Date of lease and term and including 1.1.2009 until and including 31.12.3007', 'Date of lease and term and including 1.1.2009 until and including 31.12.3007')","('Registration date and plan ref.', 'numbered 5 blue (part')",of leases Property description,continued,Schedule of notices Registration date and plan ref.,Date of lease and term 31.12.3007,description,"('Registration date and plan ref. Edged and numbered 5 in blue (part of', 'Registration date and plan ref. Edged and numbered 5 in blue (part of')","('description', '(fifteenth floor')","('Date of lease and term 999 years from and including 1.1. 2009 until and including 31. 2.3007', 'Date of lease and term 999 years from and including 1.1. 2009 until and including 31. 2.3007')","('Property', 'flat)')","('description', 'Unnamed: 3_level_1')","('Unnamed: 4_level_0', 'Unnamed: 4_level_1')","('Registration date and plan ref. the supplementary plan', 'Registration date and plan ref. the supplementary plan')","('description', 'Unnamed: 2_level_1')","('Registration date and plan ref. supplementary plan', 'Registration date and plan ref. supplementary plan')","('Date of lease and term 1.1.2009 until and including 31.12.3007', 'Date of lease and term 1.1.2009 until and including 31.12.3007')","('leases', 'Property description')","('continued', 'Unnamed: 3_level_1')","('Unnamed: 5_level_0', 'Date of lease and term and including 31.12.3007')",Property
1.0,28.01.2009 tinted blue (part of),Transformer Chamber (Ground Floor),23.01.2009 99 years from 23.1.2009,EGL551039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,09.07.2009 Edged and numbered 2 in blue (part of),"Endeavour House, 47 Cuba Street, London",06.07.2009 25 years from .1.2009,EGL557357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,25.09.2009 Edged and numbered 3 in blue (part of),"Mayflower House, Westferry Road, London",0.09.2009 25 years from .1.2009,EGL560877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,16.12.2009 Edged and numbered 4 in blue (part of),"Landmark West Flat 1602, Tower (sixteenth floor)",2. 1.2009 999 years from 1 2009,EGL565026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,17.12.2009 Edged and numbered 4 in blue (part of),"Flat 207, Landmark West Tower (second floor flat)",01. 2.2009 999 years from 1 2009,EGL565086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,17.12.2009 Edged and numbered 4 in blue (part of),"Flat 704, Landmark West Tower (seventh floor flat)",04. 2.2009 999 years from 1 2009,EGL565089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,18.12.2009 Edged and numbered 4 in blue (part of),Flat 2207 Landmark West Tower (twenty second floor flat),01. 2.2009 999 years from 1 2009,EGL565182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,23.12.2009 Edged and numbered 4 in blue (part of),Flat 1201 Landmark West Tower (twelfth floor flat),01. 2.2009 999 years from 1 2009,EGL565292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,23.12.2009 Edged and numbered 4 in blue (part of),Flat 403 Landmark West Tower (fourth floor flat),27. 1.2009 999 years from 1 2009,EGL565293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,05.01.2010 Edged and numbered 4 in,Flat 1105 Landmark West Tower (eleventh floor flat),01. 2.2009 999 years from 1 2009,EGL565470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11.0,06.0 .2010 Edged and numbered 4 in blue (part of),Flat 1019 Landmark West Tower (tenth floor flat),02.12.2009 999 years .1.2009,from,EGL565616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12.0,08.0 .2010 Edged and numbered 4 in blue (part of),Flat 203 Landmark West Tower (second floor flat),09.12.2009 999 years .1.2009,from,EGL565645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,13.0,08.0 .2010 Edged and numbered 6 in blue on supplementary plan 1,Parking Space 80 Landmark West Tower (basement level),2.11.2009 999 years .1.2009,from,EGL565724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14.0,08.0 .2010 Edged and numbered 7 in blue on supplementary plan 1,Parking Space 81 Landmark West Tower (basement level),2.11.2009 999 years .1.2009,from,EGL565725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
